inchikey,key14,smiles_std,compound_name,bbb_class,logbb,b3db_threshold,b3db_uncertainty_classification,b3db_uncertainty_regression,b3db_reference_classification,b3db_reference_regression,source_id_classification,source_id_regression,coconut_id_exact_match,coconut_ids_key14_match,coconut_matches_key14
VVIAGPKUTFNRDU-STQMWFEESA-N,VVIAGPKUTFNRDU,Nc1nc2c(c(=O)[nH]1)N(C=O)[C@@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2,levoleucovorin,BBB+,,-1.0,B,,R13|,,b3db_classification:3711,,CNP0218498.1|CNP0218498.3|CNP0511745.3|CNP0511745.5|CNP0567692.1|CNP0567692.3|CNP0572525.1|CNP0572525.3|CNP0572525.4,CNP0218498.1|CNP0218498.2|CNP0218498.3|CNP0218498.4|CNP0511745.1|CNP0511745.2|CNP0511745.3|CNP0511745.4|CNP0511745.5|CNP0567692.1|CNP0567692.2|CNP0567692.3|CNP0567692.4|CNP0567692.5|CNP0572525.1|CNP0572525.2|CNP0572525.3|CNP0572525.4,18
VVLJQSJNPKNTAT-SNVBAGLBSA-N,VVLJQSJNPKNTAT,c1ccc([C@H]2CN=C3NCCN32)cc1,chembl3707296,BBB+,,-1.0,B,,R13|R27|R30|,,b3db_classification:3818,,,,0
VVLJQSJNPKNTAT-UHFFFAOYSA-N,VVLJQSJNPKNTAT,c1ccc(C2CN=C3NCCN32)cc1,deximafen (imafen),BBB+,,-1.0,B,,R1|R19|R6|R6|R27|R27|R30|,,b3db_classification:2569,,,,0
VVNCNSJFMMFHPL-UHFFFAOYSA-N,VVNCNSJFMMFHPL,CC(C)(S)C(N)C(=O)O,penicillamine,BBB-,,,C,,R14|R23|,,b3db_classification:5116,,,CNP0419440.1|CNP0419440.2,2
VVUPEVHBDWGVMF-UHFFFAOYSA-N,VVUPEVHBDWGVMF,COc1ccccc1N1CCN(C(=O)COc2cc(C)cc(C)c2C)CC1,dexrazoxane,BBB-,,-1.0,B,,R16|R10|,,b3db_classification:4011,,,,0
VVWYOYDLCMFIEM-UHFFFAOYSA-N,VVWYOYDLCMFIEM,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,propantheline,BBB-,,-1.0,B,,R1|R13|R9|R23|R27|R27|R30|R36|,,b3db_classification:1277,,CNP0490519.0|CNP0585017.0,CNP0490519.0|CNP0585017.0,2
VWFCHDSQECPREK-LURJTMIESA-N,VWFCHDSQECPREK,Nc1ccn(C[C@@H](CO)OCP(=O)(O)O)c(=O)n1,cidofovir,BBB-,,,C,,R15|R23|,,b3db_classification:5549,,CNP0074920.1,CNP0074920.1,1
VWLHWLSRQJQWRG-UHFFFAOYSA-O,VWLHWLSRQJQWRG,CC[N+](C)(C)c1cccc(O)c1,edrophoniumchloride,BBB-,,,C,,R15|R23|R27|,,b3db_classification:5494,,CNP0541877.0|CNP0548515.0,CNP0515842.0|CNP0541877.0|CNP0546361.0|CNP0548515.0,4
VWOIKFDZQQLJBJ-DTQAZKPQSA-N,VWOIKFDZQQLJBJ,CCCCCOc1ccccc1/C(=C\SC)n1ccnc1,neticonazole,BBB-,,,C,,R23|,,b3db_classification:5711,,,,0
VWPOSFSPZNDTMJ-AEGPPILISA-N,VWPOSFSPZNDTMJ,CC(C)(C)NC[C@H](O)COc1cccc2c1C[C@@H](O)[C@@H](O)C2,nadolol,BBB-,,,C,,R27|R30|,,b3db_classification:6962,,,CNP0274898.1|CNP0274898.2|CNP0274898.3,3
VWPOSFSPZNDTMJ-QEJZJMRPSA-N,VWPOSFSPZNDTMJ,CC(C)(C)NC[C@H](O)COc1cccc2c1C[C@H](O)[C@@H](O)C2,zinc11592715,BBB+,,-1.0,B,,R13|R27|,,b3db_classification:2782,,,CNP0274898.1|CNP0274898.2|CNP0274898.3,3
VWPOSFSPZNDTMJ-SNPRPXQTSA-N,VWPOSFSPZNDTMJ,CC(C)(C)NC[C@@H](O)COc1cccc2c1C[C@H](O)[C@@H](O)C2,"(2s,3s)-5-[(r)-3-(tert-butylamino)-2-hydroxypropoxy]-1,2,3,4-tetrahydro-2,3-naphthalenediol",BBB-,,,C,,R24|,,b3db_classification:6080,,,CNP0274898.1|CNP0274898.2|CNP0274898.3,3
VWPOSFSPZNDTMJ-UHFFFAOYSA-N,VWPOSFSPZNDTMJ,CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,anabet,BBB+,-0.95,,A,B,R2|R2|R25|R46|,R2|R2|R25|R46|,b3db_classification:149,b3db_regression:339,,CNP0274898.1|CNP0274898.2|CNP0274898.3,3
VWQWXZAWFPZJDA-CGVGKPPMSA-N,VWQWXZAWFPZJDA,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)O,hydrocortisone-hemisuccinate,BBB+,,-1.0,B,,R1|R6|R27|R30|,,b3db_classification:2148,,CNP0235931.1|CNP0235931.3,CNP0235931.1|CNP0235931.10|CNP0235931.3|CNP0235931.4|CNP0235931.5|CNP0235931.6|CNP0235931.7|CNP0235931.8|CNP0235931.9,9
VWQWXZAWFPZJDA-IJXWEOONSA-N,VWQWXZAWFPZJDA,C[C@]12C[C@H](O)[C@@H]3[C@@H](CCC4=CC(=O)CC[C@]43C)[C@H]1CC[C@@]2(O)C(=O)COC(=O)CCC(=O)O,hydrocortisone-hemisuccinate,BBB+,,,C,,R27|R30|,,b3db_classification:7493,,CNP0235931.1|CNP0235931.3,CNP0235931.1|CNP0235931.10|CNP0235931.3|CNP0235931.4|CNP0235931.5|CNP0235931.6|CNP0235931.7|CNP0235931.8|CNP0235931.9,9
VWQWXZAWFPZJDA-UHFFFAOYSA-N,VWQWXZAWFPZJDA,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)COC(=O)CCC(=O)O,hydrocortisone-hemisuccinate,BBB+,,-1.0,B,,R19|R27|,,b3db_classification:4280,,CNP0235931.1|CNP0235931.3,CNP0235931.1|CNP0235931.10|CNP0235931.3|CNP0235931.4|CNP0235931.5|CNP0235931.6|CNP0235931.7|CNP0235931.8|CNP0235931.9,9
VWQWXZAWFPZJDA-UWZJJYICSA-N,VWQWXZAWFPZJDA,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@H](O)C[C@]2(C)[C@H]1CC[C@@]2(O)C(=O)COC(=O)CCC(=O)O,,BBB+,,,C,,R24|,,b3db_classification:6649,,CNP0235931.1|CNP0235931.3,CNP0235931.1|CNP0235931.10|CNP0235931.3|CNP0235931.4|CNP0235931.5|CNP0235931.6|CNP0235931.7|CNP0235931.8|CNP0235931.9,9
VWQWXZAWFPZJDA-YALLIURGSA-N,VWQWXZAWFPZJDA,CC12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)CC2(C)[C@H]1CCC2(O)C(=O)COC(=O)CCC(=O)O,,BBB+,,-1.0,B,,R13|,,b3db_classification:2913,,CNP0235931.1|CNP0235931.3,CNP0235931.1|CNP0235931.10|CNP0235931.3|CNP0235931.4|CNP0235931.5|CNP0235931.6|CNP0235931.7|CNP0235931.8|CNP0235931.9,9
VWUXBMIQPBEWFH-UHFFFAOYSA-N,VWUXBMIQPBEWFH,CC12CCC3c4ccc(O)cc4CC(CCCCCCCCC[S+]([O-])CCCC(F)(F)C(F)(F)F)C3C1CCC2O,fulvestrant r enantiomer,BBB-,,,C,,R23|,,b3db_classification:5662,,,,0
VWVSBHGCDBMOOT-FZJKROLFSA-N,VWVSBHGCDBMOOT,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=CC4(C)C3(F)[C@@H](O)CC2(C)C1C(=O)CO,,BBB+,,-1.0,B,,R13|,,b3db_classification:3576,,,,0
VWVSBHGCDBMOOT-GEANKBDGSA-N,VWVSBHGCDBMOOT,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@H](O)C[C@]2(C)[C@H]1C(=O)CO,"(8s,9r,10s,11r,13s,14s,16r,17s)-9-fluoro-11-hydroxy-17-(2-hydroxyacetyl)-10,13,16-trimethyl-7,8,11,12,14,15,16,17-octahydro-6h-cyclopenta[a]phenanthren-3-one",BBB+,,,C,,R24|,,b3db_classification:6574,,,,0
VWVSBHGCDBMOOT-IIEHVVJPSA-N,VWVSBHGCDBMOOT,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO,desoximetasone,BBB+,,-1.0,B,,R1|R6|R27|R30|,,b3db_classification:2110,,,,0
VWVSBHGCDBMOOT-UHFFFAOYSA-N,VWVSBHGCDBMOOT,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1C(=O)CO,desoxymetasone,BBB+,,-1.0,B,,R19|R27|,,b3db_classification:4314,,,,0
VWVSBHGCDBMOOT-USHWGQRHSA-N,VWVSBHGCDBMOOT,C[C@H]1C[C@H]2[C@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@@]3(F)[C@H](O)C[C@@]2(C)[C@H]1C(=O)CO,desoximetasone,BBB+,,,C,,R27|R30|,,b3db_classification:7538,,,,0
VWXGRWMELBPMCU-UHFFFAOYSA-N,VWXGRWMELBPMCU,CN(C)CCCn1c(=O)n(-c2ccccc2)c2cc(Cl)ccc21,clodazon,BBB+,,-1.0,B,,R1|R13|R19|R6|R24|R27|R27|R27|R30|R30|,,b3db_classification:1755,,,,0
VXCSCOXOGWUYKK-UHFFFAOYSA-N,VXCSCOXOGWUYKK,C=C1c2ccccc2CN(CCCN(C)C)c2ccccc21,enprazepine,BBB+,,-1.0,B,,R1|R13|R19|R6|R24|R27|R27|R27|R30|R30|,,b3db_classification:1098,,,,0
VXFJYXUZANRPDJ-UHFFFAOYSA-N,VXFJYXUZANRPDJ,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(C(=O)O)CC2CCCCC21,indolapril,BBB-,,,C,,R14|R23|,,b3db_classification:5221,,CNP0485823.1,CNP0485823.1,1
VXFJYXUZANRPDJ-VLQCVTHLSA-N,VXFJYXUZANRPDJ,CCOC(=O)[C@@H](CCc1ccccc1)N[C@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21,,BBB+,,,C,,R27|,,b3db_classification:7177,,CNP0485823.1,CNP0485823.1,1
VXFJYXUZANRPDJ-WTNASJBWSA-N,VXFJYXUZANRPDJ,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@H]2CCCC[C@@H]21,trandolapril,BBB-,,,C,,R15|,,b3db_classification:5486,,CNP0485823.1,CNP0485823.1,1
VXHNSVKJHXSKKM-UHFFFAOYSA-N,VXHNSVKJHXSKKM,CN1C2=C3N=c4ccccc4=C3CCN2C(=O)c2ccccc21,dehydroevodiamine,BBB+,0.11,,A,A,R20|,R20|,b3db_classification:622,b3db_regression:141,CNP0154596.0|CNP0544178.0,CNP0154596.0|CNP0538897.0|CNP0544178.0|CNP0574178.0,4
VXIMPSPISRVBPZ-UHFFFAOYSA-N,VXIMPSPISRVBPZ,CC(=O)C1(O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,megestrol acetate,BBB-,,,C,,R14|,,b3db_classification:5082,,,,0
VXLBSYHAEKDUSU-JXMROGBWSA-N,VXLBSYHAEKDUSU,NC/C(=C/F)CCc1ccc(F)cc1,mofegiline,BBB+,,-1.0,B,,R1|R13|R6|R27|R30|,,b3db_classification:2311,,,,0
VXLBSYHAEKDUSU-UHFFFAOYSA-N,VXLBSYHAEKDUSU,NCC(=CF)CCc1ccc(F)cc1,119386-96-8,BBB+,,-1.0,B,,R19|R27|R27|R30|,,b3db_classification:4620,,,,0
VXLBSYHAEKDUSU-YFHOEESVSA-N,VXLBSYHAEKDUSU,NC/C(=C\F)CCc1ccc(F)cc1,schembl147813,BBB+,,,C,,R24|,,b3db_classification:6698,,,,0
VXQWMLATWQSCBE-CYBMUJFWSA-N,VXQWMLATWQSCBE,CN1CCCc2cccc(OC[C@H]3CNCCO3)c21,"dabelotine, (r)-",BBB+,,,C,,R24|R27|R30|,,b3db_classification:6386,,,,0
VXQWMLATWQSCBE-UHFFFAOYSA-N,VXQWMLATWQSCBE,CN1CCCc2cccc(OCC3CNCCO3)c21,dabelotine,BBB+,,-1.0,B,,R1|R19|R6|R27|R27|R30|,,b3db_classification:1840,,,,0
VXQWMLATWQSCBE-ZDUSSCGKSA-N,VXQWMLATWQSCBE,CN1CCCc2cccc(OC[C@@H]3CNCCO3)c21,"dabelotine, (s)-",BBB+,,-1.0,B,,R13|,,b3db_classification:3229,,,,0
VXROHTDSRBRJLN-UHFFFAOYSA-O,VXROHTDSRBRJLN,COc1cc(N)cn[n+]1-c1ccccc1,amezinium,BBB+,-1.0,,A,B,R18|R26|R27|,R18|R26|R27|,b3db_classification:139,b3db_regression:331,,,0
VXTWEDPZMSVFEF-QMMMGPOBSA-N,VXTWEDPZMSVFEF,C[C@@H](Cc1ccccc1)NN,pheniprazine,BBB+,,-1.0,B,,R13|R24|R27|R30|,,b3db_classification:3512,,CNP0490406.0,CNP0490406.0,1
VXTWEDPZMSVFEF-UHFFFAOYSA-N,VXTWEDPZMSVFEF,CC(Cc1ccccc1)NN,pheniprazine,BBB+,,-1.0,B,,R1|R19|R6|R27|R27|R30|,,b3db_classification:1309,,CNP0490406.0,CNP0490406.0,1
VXYVARAHGNWPDG-SNVBAGLBSA-N,VXYVARAHGNWPDG,COC(=O)C[C@H](c1cccnc1)c1c(O)c(C(=O)OC)c[nH]c1=O,caffeine,BBB+,,-1.0,B,,R16|R16|R10|R10|,,b3db_classification:3925,,,CNP0104901.0,1
VYGQUTWHTHXGQB-UHFFFAOYSA-N,VYGQUTWHTHXGQB,CCCCCCCCCCCCCCCC(=O)OCC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,retinol palmitate,BBB-,,,C,,R14|,,b3db_classification:5195,,,CNP0108720.1|CNP0108720.2|CNP0108720.3|CNP0108720.4,4
VYMDGNCVAMGZFE-UHFFFAOYSA-N,VYMDGNCVAMGZFE,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,phenylbutazone,BBB+,-0.5,,A,B,R2|R2|R3|R11|R12|R18|R21|R25|R26|R27|R27|R27|R35|R36|R38|R39|R41|R43|R46|R47|R50|R8|R40|R5|R44|,R2|R2|R3|R11|R12|R18|R21|R25|R26|R27|R27|R27|R35|R36|R38|R39|R41|R43|R46|R47|R50|R8|R40|R5|R44|,b3db_classification:279,b3db_regression:420,CNP0254262.0,CNP0254262.0|CNP0481546.0,2
VYODYBAKJVHDFG-UHFFFAOYSA-N,VYODYBAKJVHDFG,Cc1nc(N2CCc3ccccc3CC2)c(C#N)c(=O)n1CC(F)(F)F,schembl6947600,BBB+,0.6,,A,A,R47|,R47|,b3db_classification:869,b3db_regression:200,,,0
VYVKHNNGDFVQGA-IBGZPJMESA-N,VYVKHNNGDFVQGA,CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)[C@@H](C)Cc1ccc(OC)cc1,ncgc00016617-01,BBB+,,,C,,R27|,,b3db_classification:7152,,CNP0337608.2,CNP0337608.1|CNP0337608.2,2
VYVKHNNGDFVQGA-UHFFFAOYSA-N,VYVKHNNGDFVQGA,CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)C(C)Cc1ccc(OC)cc1,mebeverine,BBB-,,,C,,R14|,,b3db_classification:5218,,CNP0337608.2,CNP0337608.1|CNP0337608.2,2
VZPPEUOYDWPUKO-MQWDNKACSA-N,VZPPEUOYDWPUKO,CC1(C)S[C@@H]2[C@H](NC(=O)C(Oc3ccccc3)c3ccccc3)C(=O)N2[C@H]1C(=O)O,fenbenicillin,BBB-,,-1.0,B,,R1|R6|R27|R30|,,b3db_classification:1351,,CNP0559249.1,CNP0559249.1,1
VZPPEUOYDWPUKO-SXENHGBCSA-N,VZPPEUOYDWPUKO,CC1(C)S[C@H]2C(NC(=O)[C@@H](Oc3ccccc3)c3ccccc3)C(=O)N2[C@H]1C(=O)O,,BBB-,,-1.0,B,,R13|,,b3db_classification:2889,,CNP0559249.1,CNP0559249.1,1
VZYCZNZBPPHOFY-UHFFFAOYSA-N,VZYCZNZBPPHOFY,CN1CCN(CCCN2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,thioproperazine,BBB+,,-1.0,B,,R1|R13|R19|R6|R14|R23|R24|R27|R27|R27|R30|R30|,,b3db_classification:1857,,CNP0471992.0,CNP0471992.0,1
WABYCCJHARSRBH-CYBMUJFWSA-N,WABYCCJHARSRBH,COC[C@H]1CN=C(c2ccccc2Cl)c2cc(Br)ccc2N1C,zinc601234,BBB+,,,C,,R27|R30|,,b3db_classification:7375,,,,0
WABYCCJHARSRBH-UHFFFAOYSA-N,WABYCCJHARSRBH,COCC1CN=C(c2ccccc2Cl)c2cc(Br)ccc2N1C,metaclazepam,BBB+,,-1.0,B,,R1|R19|R6|R14|R27|R27|R30|,,b3db_classification:1989,,,,0
WABYCCJHARSRBH-ZDUSSCGKSA-N,WABYCCJHARSRBH,COC[C@@H]1CN=C(c2ccccc2Cl)c2cc(Br)ccc2N1C,schembl547392,BBB+,,-1.0,B,,R13|R24|,,b3db_classification:3381,,,,0
WAEXKFONHRHFBZ-QMGRMYLDSA-N,WAEXKFONHRHFBZ,CN1CC[C@]23c4c5ccc(OC6O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]6O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,schembl614298,BBB-,-2.15,,A,A,R25|,R25|,b3db_classification:5,b3db_regression:2,,CNP0363543.1|CNP0363543.2,2
WAFIYOULDIWAKR-LLVKDONJSA-N,WAFIYOULDIWAKR,CC[C@@](O)(COC(N)=O)c1ccccc1,hydroxyphenamate (oxyfenamate),BBB+,,,C,,R27|R30|,,b3db_classification:7201,,,,0
WAFIYOULDIWAKR-NSHDSACASA-N,WAFIYOULDIWAKR,CC[C@](O)(COC(N)=O)c1ccccc1,zinc375,BBB+,,,C,,R24|,,b3db_classification:6326,,,,0
WAFIYOULDIWAKR-UHFFFAOYSA-N,WAFIYOULDIWAKR,CCC(O)(COC(N)=O)c1ccccc1,hydroxyphenamate (oxyfenamate),BBB+,,-1.0,B,,R1|R13|R19|R6|R27|R27|R30|,,b3db_classification:1462,,,,0
WAIJIHDWAKJCBX-ARJPBXCHSA-N,WAIJIHDWAKJCBX,CC12C=CC(=O)C=C1CC[C@H]1[C@@H]3CCC(O)(C(=O)CO)C3(C)C[C@H](O)C12F,,BBB+,,-1.0,B,,R13|,,b3db_classification:2900,,,,0
WAIJIHDWAKJCBX-BULBTXNYSA-N,WAIJIHDWAKJCBX,C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F,isoflupredone,BBB+,,,C,,R6|,,b3db_classification:4961,,,,0
WAIJIHDWAKJCBX-IIDSPLMYSA-N,WAIJIHDWAKJCBX,C[C@@]12C=CC(=O)C=C1CC[C@H]1[C@H]3CC[C@@](O)(C(=O)CO)[C@]3(C)C[C@H](O)[C@@]12F,isoflupredone,BBB+,,,C,,R27|R30|,,b3db_classification:7505,,,,0
WAIJIHDWAKJCBX-QOWBRBCBSA-N,WAIJIHDWAKJCBX,C[C@@]12C=CC(=O)C=C1CC[C@@H]1[C@H]3CC[C@@](O)(C(=O)CO)[C@]3(C)C[C@H](O)[C@]12F,,BBB+,,,C,,R24|,,b3db_classification:6590,,,,0
WAIJIHDWAKJCBX-UHFFFAOYSA-N,WAIJIHDWAKJCBX,CC12C=CC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F,isoflupredone,BBB+,,-1.0,B,,R1|R19|R27|R27|R30|,,b3db_classification:1372,,,,0
WAOQONBSWFLFPE-VIFPVBQESA-N,WAOQONBSWFLFPE,CCN1CCC[C@H]1CNC(=O)c1c(O)c(Cl)cc(Cl)c1OC,raclopride,BBB+,,-1.0,B,,R7|R29|,,b3db_classification:2595,,CNP0169724.2,CNP0169724.2,1
WAPZTEYKJAHIHL-LQWHRVPQSA-N,WAPZTEYKJAHIHL,CC(C)(C)OC(=O)N[C@@]1(CN)[C@H](c2ccccc2)[C@@H]1S(=O)(=O)c1ccc(Cl)cc1,busulfan,BBB+,,-1.0,B,,R16|R10|,,b3db_classification:3828,,,,0
WAWZQNKLTPPAKU-UHFFFAOYSA-N,WAWZQNKLTPPAKU,Cc1ccc(N=C2N(C)CCN2C)c(C)c1,"n-(2,4-dimethylphenyl)-1,3-dimethylimidazolidin-2-imine",BBB-,-1.3,,A,A,R8|,R8|,b3db_classification:76,b3db_regression:22,,,0
WBFVWQJVMMIQFI-UHFFFAOYSA-N,WBFVWQJVMMIQFI,Cn1cc(CCN2CCN(c3ccccc3Cl)CC2)cn1,enpiprazole,BBB+,,-1.0,B,,R1|R13|R19|R6|R24|R27|R27|R27|R30|R30|,,b3db_classification:2252,,,,0
WBGKWQHBNHJJPZ-BTIDDIPGSA-N,WBGKWQHBNHJJPZ,CC1(C)O[C@H]2C[C@@H]3[C@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@H]4[C@H](O)C[C@]3(C)[C@@]2(C(=O)CO)O1,,BBB+,,,C,,R24|,,b3db_classification:6117,,CNP0305281.1,CNP0305281.1|CNP0305281.2|CNP0305281.3|CNP0305281.4|CNP0305281.5,5
WBGKWQHBNHJJPZ-LECWWXJVSA-N,WBGKWQHBNHJJPZ,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,desonide,BBB+,,,C,,R6|,,b3db_classification:4759,,CNP0305281.1,CNP0305281.1|CNP0305281.2|CNP0305281.3|CNP0305281.4|CNP0305281.5,5
WBGKWQHBNHJJPZ-LJIDPWHOSA-N,WBGKWQHBNHJJPZ,CC1(C)O[C@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=CC5(C)[C@H]4C(O)CC3(C)C2(C(=O)CO)O1,,BBB+,,-1.0,B,,R13|,,b3db_classification:2847,,CNP0305281.1,CNP0305281.1|CNP0305281.2|CNP0305281.3|CNP0305281.4|CNP0305281.5,5
WBGKWQHBNHJJPZ-UHFFFAOYSA-N,WBGKWQHBNHJJPZ,CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1,desonide,BBB+,,-1.0,B,,R19|R27|,,b3db_classification:4237,,CNP0305281.1,CNP0305281.1|CNP0305281.2|CNP0305281.3|CNP0305281.4|CNP0305281.5,5
WBGKWQHBNHJJPZ-XPKJQYDESA-N,WBGKWQHBNHJJPZ,CC1(C)O[C@H]2C[C@H]3[C@H]4CCC5=CC(=O)C=C[C@@]5(C)[C@H]4[C@H](O)C[C@@]3(C)[C@]2(C(=O)CO)O1,desonide,BBB+,,,C,,R27|R30|,,b3db_classification:7007,,CNP0305281.1,CNP0305281.1|CNP0305281.2|CNP0305281.3|CNP0305281.4|CNP0305281.5,5
WBGKWQHBNHJJPZ-YWZQBGSISA-N,WBGKWQHBNHJJPZ,CC1(C)O[C@@H]2C[C@H]3C4CCC5=CC(=O)C=CC5(C)[C@H]4C(O)CC3(C)[C@]2(C(=O)CO)O1,desonide,BBB+,,-1.0,B,,R1|R27|R30|,,b3db_classification:1333,,CNP0305281.1,CNP0305281.1|CNP0305281.2|CNP0305281.3|CNP0305281.4|CNP0305281.5,5
WBGKWQHBNHJJPZ-ZQBIIVIQSA-N,WBGKWQHBNHJJPZ,CC1(C)O[C@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=CC5(C)[C@H]4[C@@H](O)CC3(C)C2(C(=O)CO)O1,,BBB+,,-1.0,B,,R13|,,b3db_classification:2848,,CNP0305281.1,CNP0305281.1|CNP0305281.2|CNP0305281.3|CNP0305281.4|CNP0305281.5,5
WBHZLVMIBFDJPD-GCKQUGCSSA-N,WBHZLVMIBFDJPD,O=C1C[C@@H]2S[C@H](C3(O)CN4C(=O)C[C@@H]4S3)CN12,,BBB+,,-1.0,B,,R13|,,b3db_classification:3752,,,,0
WBHZLVMIBFDJPD-GSUUGLOGSA-N,WBHZLVMIBFDJPD,O=C1C[C@H]2SC(C3(O)CN4C(=O)C[C@H]4S3)CN12,schembl499258,BBB+,,-1.0,B,,R1|R27|R30|,,b3db_classification:2467,,,,0
WBLPIVIXQOFTPQ-HTRCEHHLSA-N,WBLPIVIXQOFTPQ,CCC[C@H]1O[C@@]1(CC)C(N)=O,oxanamide,BBB+,,,C,,R27|R30|,,b3db_classification:7126,,,,0
WBLPIVIXQOFTPQ-UHFFFAOYSA-N,WBLPIVIXQOFTPQ,CCCC1OC1(CC)C(N)=O,oxanamide,BBB+,,-1.0,B,,R19|R6|R27|,,b3db_classification:4387,,,,0
WBLPIVIXQOFTPQ-UUEFVBAFSA-N,WBLPIVIXQOFTPQ,CCC[C@@H]1OC1(CC)C(N)=O,,BBB+,,-1.0,B,,R13|,,b3db_classification:3047,,,,0
WBLPIVIXQOFTPQ-XPUUQOCRSA-N,WBLPIVIXQOFTPQ,CCC[C@@H]1O[C@]1(CC)C(N)=O,126-93-2,BBB+,,,C,,R24|,,b3db_classification:6228,,,,0
WBOHJBUFDCLXSE-UHFFFAOYSA-N,WBOHJBUFDCLXSE,O=C(CCN1CCC(O)(c2ccc(Br)cc2)CC1)c1ccc(F)cc1,bromperidol,BBB+,1.38,,A,B,R12|R35|R40|,R12|R35|R40|,b3db_classification:1045,b3db_regression:898,,,0
WBWHPOVJCKOFNT-AOIWGVFYSA-N,WBWHPOVJCKOFNT,COc1ccc([C@@H]2[C@H](S(=O)(=O)c3ccc(C)cc3)[C@@]2(C#N)C(=O)O)cc1,miconazole,BBB-,,-1.0,B,,R16|R10|R10|,,b3db_classification:3979,,,,0
WBXPDJSOTKVWSJ-UHFFFAOYSA-N,WBXPDJSOTKVWSJ,Nc1nc2[nH]cc(CCc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)c2c(=O)[nH]1,pemetrexed,BBB-,,,C,,R23|,,b3db_classification:5916,,,CNP0472110.1|CNP0539885.1|CNP0539885.2,3
WBZDNIKGVXXXMV-OAHLLOKOSA-N,WBZDNIKGVXXXMV,COc1ccccc1OCCNC[C@@H](O)c1ccc(C)cc1S(N)(=O)=O,,BBB+,,,C,,R27|,,b3db_classification:7453,,,,0
WBZFXYVNXSWRIA-UHFFFAOYSA-N,WBZFXYVNXSWRIA,O=[SH](O)(c1ccc2cc[nH]c2c1)N1CCCC1CCN1CCC(Oc2cccc(Cl)c2)CC1,s119,BBB+,0.92,,A,A,R45|,R45|,b3db_classification:975,b3db_regression:224,,,0
WCHQWOQHNBKKDS-INIZCTEOSA-N,WCHQWOQHNBKKDS,C[C@@]1(c2ccccc2)CC(=O)N(CN2CCOCC2)C1=O,zinc31297920,BBB+,,,C,,R24|,,b3db_classification:6589,,,,0
WCHQWOQHNBKKDS-MRXNPFEDSA-N,WCHQWOQHNBKKDS,C[C@]1(c2ccccc2)CC(=O)N(CN2CCOCC2)C1=O,zinc31297922,BBB+,,,C,,R27|R30|,,b3db_classification:7566,,,,0
WCHQWOQHNBKKDS-UHFFFAOYSA-N,WCHQWOQHNBKKDS,CC1(c2ccccc2)CC(=O)N(CN2CCOCC2)C1=O,morsuximide,BBB+,,-1.0,B,,R1|R13|R19|R6|R27|R27|R30|,,b3db_classification:1371,,,,0
